TABLE_CAT	TABLE_SCHEM	TABLE_NAME	TABLE_TYPE	REMARKS
CABS	sys	database_role_members	VIEW	<null>
CABS	sys	databases	VIEW	<null>
CABS	sys	default_constraints	VIEW	<null>
CABS	sys	destination_data_spaces	VIEW	<null>
CABS	sys	dm_broker_activated_tasks	VIEW	<null>
CABS	sys	dm_broker_connections	VIEW	<null>
CABS	sys	dm_broker_forwarded_messages	VIEW	<null>
CABS	sys	dm_broker_queue_monitors	VIEW	<null>
CABS	sys	dm_clr_appdomains	VIEW	<null>
CABS	sys	dm_clr_loaded_assemblies	VIEW	<null>
CABS	sys	dm_clr_properties	VIEW	<null>
CABS	sys	dm_clr_tasks	VIEW	<null>
CABS	sys	dm_db_file_space_usage	VIEW	<null>
CABS	sys	dm_db_index_usage_stats	VIEW	<null>
CABS	sys	dm_db_mirroring_connections	VIEW	<null>
CABS	sys	dm_db_missing_index_details	VIEW	<null>
CABS	sys	dm_db_missing_index_group_stats	VIEW	<null>
CABS	sys	dm_db_missing_index_groups	VIEW	<null>
CABS	sys	dm_db_partition_stats	VIEW	<null>
CABS	sys	dm_db_session_space_usage	VIEW	<null>
CABS	sys	dm_db_task_space_usage	VIEW	<null>
CABS	sys	dm_exec_background_job_queue	VIEW	<null>
CABS	sys	dm_exec_background_job_queue_stats	VIEW	<null>
CABS	sys	dm_exec_cached_plans	VIEW	<null>
CABS	sys	dm_exec_connections	VIEW	<null>
CABS	sys	dm_exec_query_optimizer_info	VIEW	<null>
CABS	sys	dm_exec_query_stats	VIEW	<null>
CABS	sys	dm_exec_query_transformation_stats	VIEW	<null>
CABS	sys	dm_exec_requests	VIEW	<null>
CABS	sys	dm_exec_sessions	VIEW	<null>
CABS	sys	dm_fts_active_catalogs	VIEW	<null>
CABS	sys	dm_fts_index_population	VIEW	<null>
CABS	sys	dm_fts_memory_buffers	VIEW	<null>
CABS	sys	dm_fts_memory_pools	VIEW	<null>
CABS	sys	dm_fts_population_ranges	VIEW	<null>
CABS	sys	dm_io_backup_tapes	VIEW	<null>
CABS	sys	dm_io_cluster_shared_drives	VIEW	<null>
CABS	sys	dm_io_pending_io_requests	VIEW	<null>
CABS	sys	dm_os_buffer_descriptors	VIEW	<null>
CABS	sys	dm_os_child_instances	VIEW	<null>
CABS	sys	dm_os_cluster_nodes	VIEW	<null>
CABS	sys	dm_os_hosts	VIEW	<null>
CABS	sys	dm_os_latch_stats	VIEW	<null>
CABS	sys	dm_os_loaded_modules	VIEW	<null>
CABS	sys	dm_os_memory_allocations	VIEW	<null>
CABS	sys	dm_os_memory_cache_clock_hands	VIEW	<null>
CABS	sys	dm_os_memory_cache_counters	VIEW	<null>
CABS	sys	dm_os_memory_cache_entries	VIEW	<null>
CABS	sys	dm_os_memory_cache_hash_tables	VIEW	<null>
CABS	sys	dm_os_memory_clerks	VIEW	<null>
CABS	sys	dm_os_memory_objects	VIEW	<null>
CABS	sys	dm_os_memory_pools	VIEW	<null>
CABS	sys	dm_os_performance_counters	VIEW	<null>
CABS	sys	dm_os_ring_buffers	VIEW	<null>
CABS	sys	dm_os_schedulers	VIEW	<null>
CABS	sys	dm_os_stacks	VIEW	<null>
CABS	sys	dm_os_sublatches	VIEW	<null>
CABS	sys	dm_os_sys_info	VIEW	<null>
CABS	sys	dm_os_tasks	VIEW	<null>
CABS	sys	dm_os_threads	VIEW	<null>
CABS	sys	dm_os_virtual_address_dump	VIEW	<null>
CABS	sys	dm_os_wait_stats	VIEW	<null>
CABS	sys	dm_os_waiting_tasks	VIEW	<null>
CABS	sys	dm_os_worker_local_storage	VIEW	<null>
CABS	sys	dm_os_workers	VIEW	<null>
CABS	sys	dm_qn_subscriptions	VIEW	<null>
CABS	sys	dm_repl_articles	VIEW	<null>
CABS	sys	dm_repl_schemas	VIEW	<null>
CABS	sys	dm_repl_tranhash	VIEW	<null>
CABS	sys	dm_repl_traninfo	VIEW	<null>
CABS	sys	dm_tran_active_snapshot_database_transactions	VIEW	<null>
CABS	sys	dm_tran_active_transactions	VIEW	<null>
CABS	sys	dm_tran_current_snapshot	VIEW	<null>
CABS	sys	dm_tran_current_transaction	VIEW	<null>
CABS	sys	dm_tran_database_transactions	VIEW	<null>
CABS	sys	dm_tran_locks	VIEW	<null>
CABS	sys	dm_tran_session_transactions	VIEW	<null>
CABS	sys	dm_tran_top_version_generators	VIEW	<null>
CABS	sys	dm_tran_transactions_snapshot	VIEW	<null>
CABS	sys	dm_tran_version_store	VIEW	<null>
CABS	sys	endpoint_webmethods	VIEW	<null>
CABS	sys	endpoints	VIEW	<null>
CABS	sys	event_notification_event_types	VIEW	<null>
CABS	sys	event_notifications	VIEW	<null>
CABS	sys	events	VIEW	<null>
CABS	sys	extended_procedures	VIEW	<null>
CABS	sys	extended_properties	VIEW	<null>
CABS	sys	filegroups	VIEW	<null>
CABS	sys	foreign_key_columns	VIEW	<null>
CABS	sys	foreign_keys	VIEW	<null>
CABS	sys	fulltext_catalogs	VIEW	<null>
CABS	sys	fulltext_document_types	VIEW	<null>
CABS	sys	fulltext_index_catalog_usages	VIEW	<null>
CABS	sys	fulltext_index_columns	VIEW	<null>
CABS	sys	fulltext_indexes	VIEW	<null>
CABS	sys	fulltext_languages	VIEW	<null>
CABS	sys	http_endpoints	VIEW	<null>
CABS	sys	identity_columns	VIEW	<null>
CABS	sys	index_columns	VIEW	<null>
CABS	sys	indexes	VIEW	<null>
CABS	sys	internal_tables	VIEW	<null>
CABS	sys	key_constraints	VIEW	<null>
CABS	sys	key_encryptions	VIEW	<null>
CABS	sys	linked_logins	VIEW	<null>
CABS	sys	login_token	VIEW	<null>
CABS	sys	master_files	VIEW	<null>
CABS	sys	master_key_passwords	VIEW	<null>
CABS	sys	message_type_xml_schema_collection_usages	VIEW	<null>
CABS	sys	messages	VIEW	<null>
CABS	sys	module_assembly_usages	VIEW	<null>
CABS	sys	numbered_procedure_parameters	VIEW	<null>
CABS	sys	numbered_procedures	VIEW	<null>
CABS	sys	objects	VIEW	<null>
CABS	sys	openkeys	VIEW	<null>
CABS	sys	parameter_type_usages	VIEW	<null>
CABS	sys	parameter_xml_schema_collection_usages	VIEW	<null>
CABS	sys	parameters	VIEW	<null>
CABS	sys	partition_functions	VIEW	<null>
CABS	sys	partition_parameters	VIEW	<null>
CABS	sys	partition_range_values	VIEW	<null>
CABS	sys	partition_schemes	VIEW	<null>
CABS	sys	partitions	VIEW	<null>
CABS	sys	plan_guides	VIEW	<null>
CABS	sys	procedures	VIEW	<null>
CABS	sys	remote_logins	VIEW	<null>
CABS	sys	remote_service_bindings	VIEW	<null>
CABS	sys	routes	VIEW	<null>
CABS	sys	schemas	VIEW	<null>
CABS	sys	securable_classes	VIEW	<null>
CABS	sys	server_assembly_modules	VIEW	<null>
CABS	sys	server_event_notifications	VIEW	<null>
CABS	sys	server_events	VIEW	<null>
